title,url,year
"Christine Spang: Subprocess to FFI: Memory, Performance, and Why You Shouldn't Shell",https://www.youtube.com/watch?v=YAO7PUZvVPw,2014
Victor Stinner: Track memory leaks in Python,https://www.youtube.com/watch?v=umQOVzFDzTo,2014
Benjamin Peterson: Garbage Collection in Python,https://www.youtube.com/watch?v=iHVs_HkjdmI,2014
Julien Phalip: Advanced techniques for Web functional testing,https://www.youtube.com/watch?v=St9cL47_1GI,2014
Jessica McKellar - Keynote,https://www.youtube.com/watch?v=4QOoAw6Su7M,2014
Ying Li: Multi-factor Authentication - Possession Factors,https://www.youtube.com/watch?v=aYywSlNdP5I,2014
Lightning talks Session 02,https://www.youtube.com/watch?v=951amNT8_7o,2014
Dan Crosta: Performance Testing and Profiling: A Virtuous Cycle,https://www.youtube.com/watch?v=TX1sg8wzk1I,2014
Nathan Yergler: In Depth PDB,https://www.youtube.com/watch?v=lnlZGhnULn4,2014
Greg Ward: Unit Testing Makes Your Code Better,https://www.youtube.com/watch?v=ArLf03-RLwU,2014
Fernando Pérez - Keynote,https://www.youtube.com/watch?v=2NSbuKFYyvc,2014
Lightning talks Session 03,https://www.youtube.com/watch?v=Jb6ij4eRu6c,2014
Dan Callahan: Quick Wins for Better Website Security,https://www.youtube.com/watch?v=T-5p5ewqhVw,2014
Greg Wilson: Software Carpentry: Lessons Learned,https://www.youtube.com/watch?v=FtKO619O5g0,2014
Julie Pagano: It's Dangerous to Go Alone: Battling the Invisible Monsters in Tech,https://www.youtube.com/watch?v=1i8ylq4j_EY,2014
Julie Lavoie: Analyzing Rap Lyrics with Python,https://www.youtube.com/watch?v=FQuIqtx1Z24,2014
"Asheesh Laroia: Python packaging simplified, for end users, app developers",https://www.youtube.com/watch?v=eLPiPHr6TVI,2014
Miguel Grinberg: Writing RESTful web services with Flask,https://www.youtube.com/watch?v=px_vg9Far1Y,2014
"Kevin Ballard: Pushing Python: Building a High Throughput, Low Latency System",https://www.youtube.com/watch?v=k8YtaSMv-Nc,2014
Ned Batchelder: Getting Started Testing,https://www.youtube.com/watch?v=FxSsnHeWQBY,2014
Mike Bayer: Building the App,https://www.youtube.com/watch?v=5SSC6nU314c,2014
Noah Kantrowitz: What is coming in Python packaging,https://www.youtube.com/watch?v=jOiAp3wtx18,2014
Juan Gomez: REST is not enough: Using Push Notifications to better support your mobile,https://www.youtube.com/watch?v=WSWaEMn_zpo,2014
Elena Williams: Hitchhikers Guide to Participating in Open Source,https://www.youtube.com/watch?v=8kV0b0KhaMQ,2014
Marina Zhurakhinskaya: Outreach Program for Women: Lessons in Collaboration,https://www.youtube.com/watch?v=CA8HN20NnII,2014
Naomi Ceder: Farewell and Welcome Home: Python in Two Genders,https://www.youtube.com/watch?v=4R6FXtZl154,2014
Craig Kerstiens: Postgres Performance for Humans,https://www.youtube.com/watch?v=MpH8W5hce9I,2014
James Bennett: Django: The good parts,https://www.youtube.com/watch?v=9Vrk44sHIvw,2014
Julia Evans: Diving into Open Data with IPython Notebook & Pandas,https://www.youtube.com/watch?v=rEalbu8UGeo,2014
Carl Meyer: Set your code free: releasing and maintaining an open-source Python project,https://www.youtube.com/watch?v=nHWRN5gCPSI,2014
"Kate Heddleston, Nicole Zuckerman: Technical on-boarding, training, and mentoring",https://www.youtube.com/watch?v=qxE1_MgHXI4,2014
Tavish Armstrong: Software Engineering Research for Hackers: Bridging the Two Solitudes,https://www.youtube.com/watch?v=vvEY6bhLXsU,2014
Ruchi Varshney: Localization Revisited,https://www.youtube.com/watch?v=oAHMmy7dqUU,2014
